AGE OF MOTHER,AGE OF FATHER,YEAR,COUNT
18,20-24,2018,21
18,25-29,2018,1
18,30-34,2018,1
18,35-39,2018,1
18,40-44,2018,0
18,45-49,2018,0
18,50-54,2018,0
18,55-59,2018,0
18,60-64,2018,0
18,65+,2018,0
18,Not Stated,2018,17
19,<20,2018,13
19,20-24,2018,38
19,25-29,2018,10
19,30-34,2018,4
19,35-39,2018,1
19,40-44,2018,0
19,45-49,2018,0
19,50-54,2018,0
19,55-59,2018,0
19,60-64,2018,0
19,65+,2018,0
19,Not Stated,2018,22
20,<20,2018,8
20,20-24,2018,69
20,25-29,2018,24
20,30-34,2018,4
20,35-39,2018,1
20,40-44,2018,1
20,45-49,2018,1
20,50-54,2018,0
20,55-59,2018,1
20,60-64,2018,0
20,65+,2018,0
20,Not Stated,2018,37
21,<20,2018,3
21,20-24,2018,72
21,25-29,2018,47
21,30-34,2018,13
21,35-39,2018,5
21,40-44,2018,1
21,45-49,2018,1
21,50-54,2018,1
21,55-59,2018,0
21,60-64,2018,0
21,65+,2018,0
21,Not Stated,2018,28
22,<20,2018,2
22,20-24,2018,97
22,25-29,2018,87
22,30-34,2018,17
22,35-39,2018,9
22,40-44,2018,3
22,45-49,2018,1
22,50-54,2018,0
22,55-59,2018,0
22,60-64,2018,0
22,65+,2018,0
22,Not Stated,2018,51
23,<20,2018,0
23,20-24,2018,85
23,25-29,2018,119
23,30-34,2018,25
23,35-39,2018,13
23,40-44,2018,6
23,45-49,2018,1
23,50-54,2018,0
23,55-59,2018,0
23,60-64,2018,0
23,65+,2018,0
23,Not Stated,2018,32
24,<20,2018,0
24,20-24,2018,60
24,25-29,2018,145
24,30-34,2018,49
24,35-39,2018,11
24,40-44,2018,1
24,45-49,2018,1
24,50-54,2018,0
24,55-59,2018,2
24,60-64,2018,0
24,65+,2018,0
24,Not Stated,2018,38
25,<20,2018,1
25,20-24,2018,45
25,25-29,2018,162
25,30-34,2018,68
25,35-39,2018,15
25,40-44,2018,4
25,45-49,2018,2
25,50-54,2018,2
25,55-59,2018,0
25,60-64,2018,0
25,65+,2018,0
25,Not Stated,2018,42
26,<20,2018,1
26,20-24,2018,24
26,25-29,2018,176
26,30-34,2018,88
26,35-39,2018,17
26,40-44,2018,7
26,45-49,2018,2
26,50-54,2018,0
26,55-59,2018,1
26,60-64,2018,0
26,65+,2018,0
26,Not Stated,2018,27
27,<20,2018,0
27,20-24,2018,18
27,25-29,2018,231
27,30-34,2018,124
27,35-39,2018,39
27,40-44,2018,8
27,45-49,2018,2
27,50-54,2018,1
27,55-59,2018,0
27,60-64,2018,0
27,65+,2018,1
27,Not Stated,2018,28
28,<20,2018,1
28,20-24,2018,8
28,25-29,2018,218
28,30-34,2018,173
28,35-39,2018,44
28,40-44,2018,16
28,45-49,2018,5
28,50-54,2018,2
28,55-59,2018,1
28,60-64,2018,0
28,65+,2018,0
28,Not Stated,2018,31
29,<20,2018,0
29,20-24,2018,6
29,25-29,2018,181
29,30-34,2018,283
29,35-39,2018,70
29,40-44,2018,21
29,45-49,2018,4
29,50-54,2018,4
29,55-59,2018,0
29,60-64,2018,0
29,65+,2018,0
29,Not Stated,2018,29
30,<20,2018,0
30,20-24,2018,4
30,25-29,2018,108
30,30-34,2018,286
30,35-39,2018,65
30,40-44,2018,19
30,45-49,2018,4
30,50-54,2018,1
30,55-59,2018,1
30,60-64,2018,0
30,65+,2018,0
30,Not Stated,2018,19
31,<20,2018,0
31,20-24,2018,1
31,25-29,2018,65
31,30-34,2018,329
31,35-39,2018,116
31,40-44,2018,24
31,45-49,2018,9
31,50-54,2018,1
31,55-59,2018,1
31,60-64,2018,0
31,65+,2018,0
31,Not Stated,2018,16
32,<20,2018,0
32,20-24,2018,3
32,25-29,2018,29
32,30-34,2018,270
32,35-39,2018,146
32,40-44,2018,35
32,45-49,2018,4
32,50-54,2018,0
32,55-59,2018,0
32,60-64,2018,1
32,65+,2018,1
32,Not Stated,2018,20
33,<20,2018,0
33,20-24,2018,5
33,25-29,2018,33
33,30-34,2018,238
33,35-39,2018,156
33,40-44,2018,44
33,45-49,2018,8
33,50-54,2018,3
33,55-59,2018,1
33,60-64,2018,0
33,65+,2018,0
33,Not Stated,2018,23
34,<20,2018,0
34,20-24,2018,2
34,25-29,2018,12
34,30-34,2018,162
34,35-39,2018,207
34,40-44,2018,47
34,45-49,2018,5
34,50-54,2018,0
34,55-59,2018,1
34,60-64,2018,0
34,65+,2018,0
34,Not Stated,2018,18
35,<20,2018,0
35,20-24,2018,3
35,25-29,2018,4
35,30-34,2018,79
35,35-39,2018,198
35,40-44,2018,46
35,45-49,2018,21
35,50-54,2018,4
35,55-59,2018,1
35,60-64,2018,1
35,65+,2018,0
35,Not Stated,2018,11
36,<20,2018,0
36,20-24,2018,1
36,25-29,2018,8
36,30-34,2018,72
36,35-39,2018,163
36,40-44,2018,57
36,45-49,2018,12
36,50-54,2018,5
36,55-59,2018,3
36,60-64,2018,0
36,65+,2018,0
36,Not Stated,2018,14
37,<20,2018,0
37,20-24,2018,0
37,25-29,2018,6
37,30-34,2018,36
37,35-39,2018,108
37,40-44,2018,60
37,45-49,2018,13
37,50-54,2018,5
37,55-59,2018,4
37,60-64,2018,0
37,65+,2018,0
37,Not Stated,2018,8
38,<20,2018,0
38,20-24,2018,0
38,25-29,2018,2
38,30-34,2018,13
38,35-39,2018,74
38,40-44,2018,65
38,45-49,2018,23
38,50-54,2018,3
38,55-59,2018,1
38,60-64,2018,0
38,65+,2018,0
38,Not Stated,2018,12
39,<20,2018,0
39,20-24,2018,0
39,25-29,2018,3
39,30-34,2018,1
39,35-39,2018,48
39,40-44,2018,52
39,45-49,2018,11
39,50-54,2018,10
39,55-59,2018,0
39,60-64,2018,0
39,65+,2018,0
39,Not Stated,2018,4
40,<20,2018,0
40,20-24,2018,0
40,25-29,2018,1
40,30-34,2018,1
40,35-39,2018,19
40,40-44,2018,41
40,45-49,2018,12
40,50-54,2018,2
40,55-59,2018,0
40,60-64,2018,0
40,65+,2018,0
40,Not Stated,2018,4
41,<20,2018,0
41,20-24,2018,0
41,25-29,2018,0
41,30-34,2018,3
41,35-39,2018,11
41,40-44,2018,23
41,45-49,2018,5
41,50-54,2018,5
41,55-59,2018,1
41,60-64,2018,1
41,65+,2018,0
41,Not Stated,2018,6
42,<20,2018,0
42,20-24,2018,0
42,25-29,2018,2
42,30-34,2018,2
42,35-39,2018,1
42,40-44,2018,10
42,45-49,2018,6
42,50-54,2018,5
42,55-59,2018,0
42,60-64,2018,0
42,65+,2018,1
42,Not Stated,2018,5
43,<20,2018,0
43,20-24,2018,0
43,25-29,2018,0
43,30-34,2018,0
43,35-39,2018,2
43,40-44,2018,4
43,45-49,2018,2
43,50-54,2018,2
43,55-59,2018,0
43,60-64,2018,0
43,65+,2018,0
43,Not Stated,2018,1
44,<20,2018,0
44,20-24,2018,0
44,25-29,2018,0
44,30-34,2018,0
44,35-39,2018,2
44,40-44,2018,1
44,45-49,2018,0
44,50-54,2018,0
44,55-59,2018,0
44,60-64,2018,0
44,65+,2018,0
44,Not Stated,2018,0
45,<20,2018,0
45,20-24,2018,0
45,25-29,2018,0
45,30-34,2018,1
45,35-39,2018,0
45,40-44,2018,0
45,45-49,2018,2
45,50-54,2018,0
45,55-59,2018,1
45,60-64,2018,0
45,65+,2018,1
45,Not Stated,2018,2
46,<20,2018,0
46,20-24,2018,0
46,25-29,2018,0
46,30-34,2018,0
46,35-39,2018,0
46,40-44,2018,0
46,45-49,2018,0
46,50-54,2018,0
46,55-59,2018,0
46,60-64,2018,0
46,65+,2018,0
46,Not Stated,2018,0
47,<20,2018,0
47,20-24,2018,0
47,25-29,2018,0
47,30-34,2018,0
47,35-39,2018,0
47,40-44,2018,0
47,45-49,2018,0
47,50-54,2018,0
47,55-59,2018,0
47,60-64,2018,0
47,65+,2018,0
47,Not Stated,2018,1
48,<20,2018,0
48,20-24,2018,0
48,25-29,2018,0
48,30-34,2018,0
48,35-39,2018,1
48,40-44,2018,0
48,45-49,2018,0
48,50-54,2018,0
48,55-59,2018,0
48,60-64,2018,0
48,65+,2018,0
48,Not Stated,2018,0
49,<20,2018,0
49,20-24,2018,0
49,25-29,2018,0
49,30-34,2018,0
49,35-39,2018,0
49,40-44,2018,0
49,45-49,2018,1
49,50-54,2018,0
49,55-59,2018,0
49,60-64,2018,0
49,65+,2018,0
49,Not Stated,2018,0
50,<20,2018,0
50,20-24,2018,0
50,25-29,2018,0
50,30-34,2018,0
50,35-39,2018,0
50,40-44,2018,0
50,45-49,2018,0
50,50-54,2018,0
50,55-59,2018,0
50,60-64,2018,0
50,65+,2018,0
50,Not Stated,2018,0
51,<20,2018,0
51,20-24,2018,0
51,25-29,2018,0
51,30-34,2018,0
51,35-39,2018,0
51,40-44,2018,0
51,45-49,2018,0
51,50-54,2018,0
51,55-59,2018,0
51,60-64,2018,0
51,65+,2018,0
51,Not Stated,2018,0
52,<20,2018,0
52,20-24,2018,0
52,25-29,2018,0
52,30-34,2018,0
52,35-39,2018,0
52,40-44,2018,0
52,45-49,2018,0
52,50-54,2018,0
52,55-59,2018,0
52,60-64,2018,0
52,65+,2018,0
52,Not Stated,2018,0
53,<20,2018,0
53,20-24,2018,0
53,25-29,2018,0
53,30-34,2018,0
53,35-39,2018,0
53,40-44,2018,0
53,45-49,2018,0
53,50-54,2018,0
53,55-59,2018,0
53,60-64,2018,0
53,65+,2018,0
53,Not Stated,2018,0
54,<20,2018,0
54,20-24,2018,0
54,25-29,2018,0
54,30-34,2018,0
54,35-39,2018,0
54,40-44,2018,0
54,45-49,2018,0
54,50-54,2018,0
54,55-59,2018,0
54,60-64,2018,0
54,65+,2018,0
54,Not Stated,2018,0
55,<20,2018,0
55,20-24,2018,0
55,25-29,2018,0
55,30-34,2018,0
55,35-39,2018,0
55,40-44,2018,0
55,45-49,2018,0
55,50-54,2018,0
55,55-59,2018,0
55,60-64,2018,0
55,65+,2018,0
55,Not Stated,2018,0
56,<20,2018,0
56,20-24,2018,0
56,25-29,2018,0
56,30-34,2018,0
56,35-39,2018,0
56,40-44,2018,0
56,45-49,2018,0
56,50-54,2018,0
56,55-59,2018,0
56,60-64,2018,0
56,65+,2018,0
56,Not Stated,2018,0
57,<20,2018,0
57,20-24,2018,0
57,25-29,2018,0
57,30-34,2018,0
57,35-39,2018,0
57,40-44,2018,0
57,45-49,2018,0
57,50-54,2018,0
57,55-59,2018,0
57,60-64,2018,0
57,65+,2018,0
57,Not Stated,2018,0
58,<20,2018,0
58,20-24,2018,0
58,25-29,2018,0
58,30-34,2018,0
58,35-39,2018,0
58,40-44,2018,0
58,45-49,2018,1
58,50-54,2018,0
58,55-59,2018,0
58,60-64,2018,0
58,65+,2018,0
58,Not Stated,2018,0
59,<20,2018,0
59,20-24,2018,0
59,25-29,2018,0
59,30-34,2018,0
59,35-39,2018,0
59,40-44,2018,0
59,45-49,2018,0
59,50-54,2018,0
59,55-59,2018,0
59,60-64,2018,0
59,65+,2018,0
59,Not Stated,2018,0
Not Stated,<20,2018,0
Not Stated,20-24,2018,0
Not Stated,25-29,2018,0
Not Stated,30-34,2018,0
Not Stated,35-39,2018,1
Not Stated,40-44,2018,0
Not Stated,45-49,2018,0
Not Stated,50-54,2018,0
Not Stated,55-59,2018,0
Not Stated,60-64,2018,0
Not Stated,65+,2018,0
Not Stated,Not Stated,2018,3
12,<20,2019,0
12,20-24,2019,0
12,25-29,2019,0
12,30-34,2019,0
12,35-39,2019,0
12,40-44,2019,0
12,45-49,2019,0
12,50-54,2019,0
12,55-59,2019,0
12,60-64,2019,0
12,65+,2019,0
12,Not Stated,2019,0
13,<20,2019,0
13,20-24,2019,0
13,25-29,2019,0
13,30-34,2019,0
13,35-39,2019,0
13,40-44,2019,0
13,45-49,2019,0
13,50-54,2019,0
13,55-59,2019,0
13,60-64,2019,0
13,65+,2019,0
13,Not Stated,2019,0
14,<20,2019,0
14,20-24,2019,0
14,25-29,2019,0
14,30-34,2019,0
14,35-39,2019,0
14,40-44,2019,0
14,45-49,2019,0
14,50-54,2019,0
14,55-59,2019,0
14,60-64,2019,0
14,65+,2019,0
14,Not Stated,2019,0
15,<20,2019,4
15,20-24,2019,0
15,25-29,2019,0
15,30-34,2019,0
15,35-39,2019,0
15,40-44,2019,0
15,45-49,2019,0
15,50-54,2019,0
15,55-59,2019,0
15,60-64,2019,0
15,65+,2019,0
15,Not Stated,2019,4
16,<20,2019,3
16,20-24,2019,3
16,25-29,2019,0
16,30-34,2019,0
16,35-39,2019,0
16,40-44,2019,0
16,45-49,2019,0
16,50-54,2019,0
16,55-59,2019,0
16,60-64,2019,0
16,65+,2019,0
16,Not Stated,2019,8
17,<20,2019,15
17,20-24,2019,5
17,25-29,2019,4
17,30-34,2019,0
17,35-39,2019,0
17,40-44,2019,1
17,45-49,2019,0
17,50-54,2019,0
17,55-59,2019,0
17,60-64,2019,0
17,65+,2019,0
17,Not Stated,2019,10
18,<20,2019,10
18,20-24,2019,22
18,25-29,2019,2
18,30-34,2019,2
18,35-39,2019,0
18,40-44,2019,0
18,45-49,2019,0
18,50-54,2019,0
18,55-59,2019,0
18,60-64,2019,0
18,65+,2019,0
18,Not Stated,2019,12
19,<20,2019,18
19,20-24,2019,45
19,25-29,2019,15
19,30-34,2019,3
19,35-39,2019,1
19,40-44,2019,2
19,45-49,2019,1
19,50-54,2019,0
19,55-59,2019,0
19,60-64,2019,0
19,65+,2019,0
19,Not Stated,2019,36
20,<20,2019,10
20,20-24,2019,66
20,25-29,2019,22
20,30-34,2019,4
20,35-39,2019,2
20,40-44,2019,1
20,45-49,2019,0
20,50-54,2019,0
20,55-59,2019,0
20,60-64,2019,0
20,65+,2019,0
20,Not Stated,2019,35
21,<20,2019,4
21,20-24,2019,106
21,25-29,2019,42
21,30-34,2019,7
21,35-39,2019,2
21,40-44,2019,2
21,45-49,2019,0
21,50-54,2019,1
21,55-59,2019,0
21,60-64,2019,0
21,65+,2019,0
21,Not Stated,2019,49
22,<20,2019,0
22,20-24,2019,84
22,25-29,2019,59
22,30-34,2019,18
22,35-39,2019,7
22,40-44,2019,2
22,45-49,2019,0
22,50-54,2019,1
22,55-59,2019,0
22,60-64,2019,0
22,65+,2019,0
22,Not Stated,2019,39
23,<20,2019,2
23,20-24,2019,83
23,25-29,2019,93
23,30-34,2019,29
23,35-39,2019,10
23,40-44,2019,5
23,45-49,2019,0
23,50-54,2019,0
23,55-59,2019,0
23,60-64,2019,0
23,65+,2019,0
23,Not Stated,2019,41
24,<20,2019,0
24,20-24,2019,52
24,25-29,2019,147
24,30-34,2019,41
24,35-39,2019,12
24,40-44,2019,5
24,45-49,2019,3
24,50-54,2019,0
24,55-59,2019,0
24,60-64,2019,0
24,65+,2019,0
24,Not Stated,2019,39
25,<20,2019,0
25,20-24,2019,39
25,25-29,2019,184
25,30-34,2019,82
25,35-39,2019,23
25,40-44,2019,1
25,45-49,2019,1
25,50-54,2019,1
25,55-59,2019,1
25,60-64,2019,0
25,65+,2019,0
25,Not Stated,2019,53
26,<20,2019,0
26,20-24,2019,29
26,25-29,2019,222
26,30-34,2019,93
26,35-39,2019,31
26,40-44,2019,7
26,45-49,2019,2
26,50-54,2019,2
26,55-59,2019,0
26,60-64,2019,0
26,65+,2019,0
26,Not Stated,2019,47
27,<20,2019,1
27,20-24,2019,16
27,25-29,2019,200
27,30-34,2019,137
27,35-39,2019,33
27,40-44,2019,15
27,45-49,2019,4
27,50-54,2019,0
27,55-59,2019,1
27,60-64,2019,1
27,65+,2019,0
27,Not Stated,2019,38
28,<20,2019,0
28,20-24,2019,12
28,25-29,2019,218
28,30-34,2019,184
28,35-39,2019,65
28,40-44,2019,16
28,45-49,2019,6
28,50-54,2019,0
28,55-59,2019,0
28,60-64,2019,0
28,65+,2019,0
28,Not Stated,2019,45
29,<20,2019,0
29,20-24,2019,9
29,25-29,2019,174
29,30-34,2019,258
29,35-39,2019,65
29,40-44,2019,13
29,45-49,2019,3
29,50-54,2019,1
29,55-59,2019,2
29,60-64,2019,0
29,65+,2019,0
29,Not Stated,2019,33
30,<20,2019,0
30,20-24,2019,6
30,25-29,2019,82
30,30-34,2019,342
30,35-39,2019,86
30,40-44,2019,20
30,45-49,2019,9
30,50-54,2019,0
30,55-59,2019,1
30,60-64,2019,0
30,65+,2019,0
30,Not Stated,2019,23
31,<20,2019,0
31,20-24,2019,4
31,25-29,2019,63
31,30-34,2019,317
31,35-39,2019,96
31,40-44,2019,29
31,45-49,2019,6
31,50-54,2019,2
31,55-59,2019,2
31,60-64,2019,0
31,65+,2019,0
31,Not Stated,2019,30
32,<20,2019,0
32,20-24,2019,3
32,25-29,2019,29
32,30-34,2019,309
32,35-39,2019,136
32,40-44,2019,38
32,45-49,2019,6
32,50-54,2019,2
32,55-59,2019,3
32,60-64,2019,0
32,65+,2019,0
32,Not Stated,2019,22
33,<20,2019,0
33,20-24,2019,1
33,25-29,2019,36
33,30-34,2019,231
33,35-39,2019,174
33,40-44,2019,39
33,45-49,2019,9
33,50-54,2019,5
33,55-59,2019,2
33,60-64,2019,0
33,65+,2019,0
33,Not Stated,2019,14
34,<20,2019,0
34,20-24,2019,2
34,25-29,2019,18
34,30-34,2019,159
34,35-39,2019,173
34,40-44,2019,42
34,45-49,2019,12
34,50-54,2019,1
34,55-59,2019,1
34,60-64,2019,0
34,65+,2019,0
34,Not Stated,2019,25
35,<20,2019,0
35,20-24,2019,1
35,25-29,2019,16
35,30-34,2019,98
35,35-39,2019,214
35,40-44,2019,54
35,45-49,2019,18
35,50-54,2019,6
35,55-59,2019,1
35,60-64,2019,1
35,65+,2019,0
35,Not Stated,2019,16
36,<20,2019,0
36,20-24,2019,1
36,25-29,2019,9
36,30-34,2019,62
36,35-39,2019,194
36,40-44,2019,56
36,45-49,2019,6
36,50-54,2019,1
36,55-59,2019,1
36,60-64,2019,1
36,65+,2019,0
36,Not Stated,2019,10
37,<20,2019,0
37,20-24,2019,1
37,25-29,2019,3
37,30-34,2019,30
37,35-39,2019,112
37,40-44,2019,57
37,45-49,2019,17
37,50-54,2019,3
37,55-59,2019,4
37,60-64,2019,0
37,65+,2019,0
37,Not Stated,2019,10
38,<20,2019,0
38,20-24,2019,0
38,25-29,2019,2
38,30-34,2019,22
38,35-39,2019,81
38,40-44,2019,47
38,45-49,2019,13
38,50-54,2019,3
38,55-59,2019,0
38,60-64,2019,0
38,65+,2019,0
38,Not Stated,2019,9
39,<20,2019,0
39,20-24,2019,2
39,25-29,2019,0
39,30-34,2019,12
39,35-39,2019,32
39,40-44,2019,51
39,45-49,2019,16
39,50-54,2019,0
39,55-59,2019,3
39,60-64,2019,0
39,65+,2019,0
39,Not Stated,2019,7
40,<20,2019,0
40,20-24,2019,0
40,25-29,2019,2
40,30-34,2019,7
40,35-39,2019,26
40,40-44,2019,38
40,45-49,2019,10
40,50-54,2019,4
40,55-59,2019,0
40,60-64,2019,0
40,65+,2019,0
40,Not Stated,2019,6
41,<20,2019,0
41,20-24,2019,0
41,25-29,2019,1
41,30-34,2019,8
41,35-39,2019,11
41,40-44,2019,24
41,45-49,2019,8
41,50-54,2019,3
41,55-59,2019,1
41,60-64,2019,0
41,65+,2019,0
41,Not Stated,2019,9
42,<20,2019,0
42,20-24,2019,0
42,25-29,2019,0
42,30-34,2019,0
42,35-39,2019,8
42,40-44,2019,6
42,45-49,2019,3
42,50-54,2019,2
42,55-59,2019,0
42,60-64,2019,0
42,65+,2019,0
42,Not Stated,2019,0
43,<20,2019,0
43,20-24,2019,0
43,25-29,2019,0
43,30-34,2019,1
43,35-39,2019,3
43,40-44,2019,6
43,45-49,2019,6
43,50-54,2019,4
43,55-59,2019,0
43,60-64,2019,0
43,65+,2019,0
43,Not Stated,2019,1
44,<20,2019,0
44,20-24,2019,0
44,25-29,2019,0
44,30-34,2019,0
44,35-39,2019,0
44,40-44,2019,4
44,45-49,2019,3
44,50-54,2019,1
44,55-59,2019,0
44,60-64,2019,0
44,65+,2019,0
44,Not Stated,2019,0
45,<20,2019,0
45,20-24,2019,0
45,25-29,2019,0
45,30-34,2019,0
45,35-39,2019,1
45,40-44,2019,2
45,45-49,2019,2
45,50-54,2019,1
45,55-59,2019,3
45,60-64,2019,1
45,65+,2019,0
45,Not Stated,2019,0
46,<20,2019,0
46,20-24,2019,0
46,25-29,2019,0
46,30-34,2019,0
46,35-39,2019,1
46,40-44,2019,0
46,45-49,2019,1
46,50-54,2019,0
46,55-59,2019,0
46,60-64,2019,0
46,65+,2019,0
46,Not Stated,2019,0
47,<20,2019,0
47,20-24,2019,0
47,25-29,2019,0
47,30-34,2019,0
47,35-39,2019,0
47,40-44,2019,1
47,45-49,2019,1
47,50-54,2019,0
47,55-59,2019,0
47,60-64,2019,0
47,65+,2019,0
47,Not Stated,2019,0
48,<20,2019,0
48,20-24,2019,0
48,25-29,2019,0
48,30-34,2019,0
48,35-39,2019,1
48,40-44,2019,0
48,45-49,2019,0
48,50-54,2019,0
48,55-59,2019,0
48,60-64,2019,0
48,65+,2019,0
48,Not Stated,2019,0
49,<20,2019,0
49,20-24,2019,0
49,25-29,2019,0
49,30-34,2019,0
49,35-39,2019,0
49,40-44,2019,0
49,45-49,2019,1
49,50-54,2019,0
49,55-59,2019,0
49,60-64,2019,0
49,65+,2019,0
49,Not Stated,2019,0
50,<20,2019,0
50,20-24,2019,0
50,25-29,2019,0
50,30-34,2019,1
50,35-39,2019,1
50,40-44,2019,0
50,45-49,2019,0
50,50-54,2019,0
50,55-59,2019,0
50,60-64,2019,0
50,65+,2019,0
50,Not Stated,2019,0
51,<20,2019,0
51,20-24,2019,0
51,25-29,2019,0
51,30-34,2019,0
51,35-39,2019,0
51,40-44,2019,0
51,45-49,2019,0
51,50-54,2019,0
51,55-59,2019,0
51,60-64,2019,0
51,65+,2019,0
51,Not Stated,2019,0
52,<20,2019,0
52,20-24,2019,0
52,25-29,2019,0
52,30-34,2019,0
52,35-39,2019,0
52,40-44,2019,0
52,45-49,2019,0
52,50-54,2019,0
52,55-59,2019,0
52,60-64,2019,0
52,65+,2019,0
52,Not Stated,2019,0
53,<20,2019,0
53,20-24,2019,0
53,25-29,2019,0
53,30-34,2019,0
53,35-39,2019,0
53,40-44,2019,0
53,45-49,2019,0
53,50-54,2019,0
53,55-59,2019,0
53,60-64,2019,0
53,65+,2019,0
53,Not Stated,2019,0
54,<20,2019,0
54,20-24,2019,0
54,25-29,2019,0
54,30-34,2019,0
54,35-39,2019,0
54,40-44,2019,0
54,45-49,2019,0
54,50-54,2019,0
54,55-59,2019,0
54,60-64,2019,0
54,65+,2019,0
54,Not Stated,2019,0
55,<20,2019,0
55,20-24,2019,0
55,25-29,2019,0
55,30-34,2019,0
55,35-39,2019,0
55,40-44,2019,0
55,45-49,2019,0
55,50-54,2019,0
55,55-59,2019,0
55,60-64,2019,0
55,65+,2019,0
55,Not Stated,2019,0
56,<20,2019,0
56,20-24,2019,0
56,25-29,2019,0
56,30-34,2019,0
56,35-39,2019,0
56,40-44,2019,0
56,45-49,2019,0
56,50-54,2019,0
56,55-59,2019,0
56,60-64,2019,0
56,65+,2019,0
56,Not Stated,2019,0
57,<20,2019,0
57,20-24,2019,0
57,25-29,2019,0
57,30-34,2019,0
57,35-39,2019,0
57,40-44,2019,0
57,45-49,2019,0
57,50-54,2019,0
57,55-59,2019,0
57,60-64,2019,0
57,65+,2019,0
57,Not Stated,2019,0
58,<20,2019,0
58,20-24,2019,0
58,25-29,2019,0
58,30-34,2019,0
58,35-39,2019,0
58,40-44,2019,0
58,45-49,2019,0
58,50-54,2019,0
58,55-59,2019,0
58,60-64,2019,0
58,65+,2019,0
58,Not Stated,2019,0
59,<20,2019,0
59,20-24,2019,0
59,25-29,2019,0
59,30-34,2019,0
59,35-39,2019,0
59,40-44,2019,0
59,45-49,2019,0
59,50-54,2019,0
59,55-59,2019,0
59,60-64,2019,0
59,65+,2019,0
59,Not Stated,2019,0
Not Stated,<20,2019,0
Not Stated,20-24,2019,0
Not Stated,25-29,2019,0
Not Stated,30-34,2019,0
Not Stated,35-39,2019,0
Not Stated,40-44,2019,0
Not Stated,45-49,2019,0
Not Stated,50-54,2019,0
Not Stated,55-59,2019,0
Not Stated,60-64,2019,0
Not Stated,65+,2019,0
Not Stated,Not Stated,2019,1
12,<20,2020,0
12,20-24,2020,0
12,25-29,2020,0
12,30-34,2020,0
12,35-39,2020,0
12,40-44,2020,0
12,45-49,2020,0
12,50-54,2020,0
12,55-59,2020,0
12,60-64,2020,0
12,65+,2020,0
12,Not Stated,2020,0
13,<20,2020,0
13,20-24,2020,0
13,25-29,2020,0
13,30-34,2020,0
13,35-39,2020,0
13,40-44,2020,0
13,45-49,2020,0
13,50-54,2020,0
13,55-59,2020,0
13,60-64,2020,0
13,65+,2020,0
13,Not Stated,2020,0
14,<20,2020,1
14,20-24,2020,0
14,25-29,2020,0
14,30-34,2020,0
14,35-39,2020,0
14,40-44,2020,0
14,45-49,2020,0
14,50-54,2020,0
14,55-59,2020,0
14,60-64,2020,0
14,65+,2020,0
14,Not Stated,2020,1
15,<20,2020,0
15,20-24,2020,0
15,25-29,2020,0
15,30-34,2020,0
15,35-39,2020,0
15,40-44,2020,0
15,45-49,2020,0
15,50-54,2020,0
15,55-59,2020,0
15,60-64,2020,0
15,65+,2020,0
15,Not Stated,2020,2
16,<20,2020,5
16,20-24,2020,2
16,25-29,2020,0
16,30-34,2020,0
16,35-39,2020,0
16,40-44,2020,0
16,45-49,2020,0
16,50-54,2020,0
16,55-59,2020,0
16,60-64,2020,0
16,65+,2020,0
16,Not Stated,2020,4
17,<20,2020,8
17,20-24,2020,6
17,25-29,2020,1
17,30-34,2020,0
17,35-39,2020,0
17,40-44,2020,0
17,45-49,2020,0
17,50-54,2020,0
17,55-59,2020,0
17,60-64,2020,0
17,65+,2020,0
17,Not Stated,2020,9
18,<20,2020,10
18,20-24,2020,16
18,25-29,2020,5
18,30-34,2020,0
18,35-39,2020,0
18,40-44,2020,0
18,45-49,2020,0
18,50-54,2020,0
18,55-59,2020,0
18,60-64,2020,0
18,65+,2020,0
18,Not Stated,2020,24
19,<20,2020,12
19,20-24,2020,33
19,25-29,2020,13
19,30-34,2020,2
19,35-39,2020,1
19,40-44,2020,0
19,45-49,2020,0
19,50-54,2020,0
19,55-59,2020,0
19,60-64,2020,0
19,65+,2020,0
19,Not Stated,2020,25
20,<20,2020,12
20,20-24,2020,55
20,25-29,2020,23
20,30-34,2020,4
20,35-39,2020,0
20,40-44,2020,1
20,45-49,2020,0
20,50-54,2020,0
20,55-59,2020,0
20,60-64,2020,0
20,65+,2020,0
20,Not Stated,2020,33
21,<20,2020,1
21,20-24,2020,54
21,25-29,2020,26
21,30-34,2020,10
21,35-39,2020,1
21,40-44,2020,1
21,45-49,2020,0
21,50-54,2020,1
21,55-59,2020,0
21,60-64,2020,0
21,65+,2020,0
21,Not Stated,2020,41
22,<20,2020,1
22,20-24,2020,65
22,25-29,2020,55
22,30-34,2020,12
22,35-39,2020,8
22,40-44,2020,2
22,45-49,2020,0
22,50-54,2020,0
22,55-59,2020,0
22,60-64,2020,0
22,65+,2020,0
22,Not Stated,2020,48
23,<20,2020,0
23,20-24,2020,74
23,25-29,2020,78
23,30-34,2020,22
23,35-39,2020,10
23,40-44,2020,3
23,45-49,2020,0
23,50-54,2020,0
23,55-59,2020,0
23,60-64,2020,0
23,65+,2020,0
23,Not Stated,2020,29
24,<20,2020,0
24,20-24,2020,47
24,25-29,2020,119
24,30-34,2020,39
24,35-39,2020,12
24,40-44,2020,2
24,45-49,2020,1
24,50-54,2020,0
24,55-59,2020,1
24,60-64,2020,0
24,65+,2020,0
24,Not Stated,2020,44
25,<20,2020,1
25,20-24,2020,37
